id_municipio,ano,idhm,idhm_e,idhm_l,idhm_r
1505650,1991,0.276,0.062,0.651,0.522
1505700,1991,0.335,0.124,0.656,0.461
1505809,1991,0.272,0.069,0.636,0.461
1505908,1991,0.218,0.034,0.651,0.469
1506005,1991,0.245,0.056,0.604,0.436
1506104,1991,0.248,0.07,0.592,0.37
1506112,1991,0.27,0.082,0.56,0.431
1506138,1991,0.374,0.132,0.693,0.573
1506161,1991,0.295,0.076,0.632,0.536
1506187,1991,0.392,0.166,0.637,0.569
1506195,1991,0.257,0.074,0.547,0.418
1506203,1991,0.399,0.194,0.673,0.486
1506302,1991,0.391,0.171,0.677,0.515
1506351,1991,0.369,0.183,0.604,0.455
1506401,1991,0.3,0.098,0.583,0.472
1506500,1991,0.447,0.255,0.652,0.539
1506559,1991,0.274,0.084,0.582,0.419
1506583,1991,0.327,0.101,0.639,0.543
1506609,1991,0.368,0.146,0.61,0.559
1506708,1991,0.331,0.111,0.639,0.513
1506807,1991,0.421,0.222,0.643,0.521
1506906,1991,0.337,0.143,0.563,0.474
1507003,1991,0.365,0.173,0.609,0.463
1507102,1991,0.337,0.122,0.669,0.468
1507151,1991,0.285,0.08,0.634,0.458
1507201,1991,0.33,0.11,0.645,0.506
1507300,1991,0.315,0.09,0.623,0.557
1507409,1991,0.371,0.16,0.61,0.525
1507458,1991,0.256,0.059,0.633,0.448
1507466,1991,0.282,0.081,0.643,0.432
1507474,1991,0.306,0.104,0.611,0.449
1507508,1991,0.233,0.048,0.547,0.48
1507607,1991,0.322,0.114,0.583,0.501
1507706,1991,0.288,0.081,0.644,0.456
1507755,1991,0.311,0.079,0.693,0.551
1507805,1991,0.253,0.052,0.636,0.487
1507904,1991,0.427,0.221,0.669,0.527
1507953,1991,0.34,0.101,0.664,0.587
1507961,1991,0.266,0.077,0.622,0.395
1507979,1991,0.334,0.141,0.609,0.432
1508001,1991,0.347,0.141,0.591,0.502
1508035,1991,0.25,0.064,0.563,0.434
1508050,1991,0.271,0.067,0.634,0.471
1508084,1991,0.305,0.08,0.623,0.57
1508100,1991,0.421,0.201,0.664,0.558
1508126,1991,0.277,0.062,0.576,0.595
1508159,1991,0.298,0.081,0.636,0.514
1508209,1991,0.372,0.161,0.664,0.483
1508308,1991,0.237,0.057,0.575,0.404
1508357,1991,0.262,0.064,0.618,0.456
1508407,1991,0.374,0.123,0.696,0.61
1600055,1991,0.416,0.186,0.671,0.578
1600105,1991,0.391,0.16,0.698,0.535
1600154,1991,0.235,0.053,0.585,0.42
1600204,1991,0.342,0.125,0.57,0.562
1600212,1991,0.161,0.015,0.633,0.442
1600238,1991,0.32,0.095,0.701,0.492
1600253,1991,0.268,0.065,0.584,0.505
1600279,1991,0.349,0.109,0.649,0.599
1600303,1991,0.525,0.322,0.69,0.653
1600402,1991,0.319,0.103,0.649,0.484
1600501,1991,0.388,0.147,0.662,0.599
1600535,1991,0.407,0.183,0.649,0.567
1600550,1991,0.203,0.039,0.57,0.378
1600600,1991,0.426,0.203,0.662,0.575
1600709,1991,0.311,0.092,0.633,0.519
1600808,1991,0.336,0.134,0.57,0.495
1700251,1991,0.215,0.039,0.604,0.42
1700301,1991,0.295,0.097,0.55,0.48
1700350,1991,0.38,0.17,0.632,0.511
1700400,1991,0.263,0.076,0.559,0.428
1700707,1991,0.471,0.256,0.641,0.636
1701002,1991,0.295,0.096,0.585,0.457
1701051,1991,0.235,0.061,0.562,0.379
1701101,1991,0.373,0.174,0.612,0.487
1701309,1991,0.32,0.115,0.604,0.47
1701903,1991,0.32,0.104,0.628,0.502
1702000,1991,0.332,0.118,0.571,0.542
1702109,1991,0.451,0.23,0.647,0.616
1702158,1991,0.28,0.083,0.609,0.436
1702208,1991,0.301,0.11,0.541,0.457
1702307,1991,0.318,0.106,0.586,0.517
1702406,1991,0.338,0.123,0.593,0.529
1702554,1991,0.297,0.105,0.517,0.483
1702703,1991,0.355,0.164,0.588,0.463
1702901,1991,0.261,0.093,0.49,0.391
1703008,1991,0.265,0.084,0.523,0.424
1703057,1991,0.282,0.067,0.642,0.524
1703073,1991,0.17,0.022,0.565,0.396
1703107,1991,0.331,0.116,0.64,0.49
1703206,1991,0.335,0.133,0.607,0.464
1703305,1991,0.24,0.061,0.593,0.38
1703602,1991,0.297,0.086,0.62,0.491
1703701,1991,0.346,0.156,0.566,0.468
1703800,1991,0.269,0.099,0.486,0.405
1703826,1991,0.314,0.153,0.523,0.387
1703842,1991,0.138,0.01,0.553,0.48
1703867,1991,0.292,0.078,0.64,0.5
1703883,1991,0.239,0.051,0.586,0.458
1703891,1991,0.152,0.027,0.481,0.268
1703909,1991,0.374,0.161,0.628,0.516
1704105,1991,0.209,0.044,0.565,0.369
1704600,1991,0.24,0.055,0.606,0.414
1705102,1991,0.239,0.056,0.597,0.406
1705508,1991,0.418,0.191,0.647,0.591
1705557,1991,0.341,0.141,0.586,0.479
1705607,1991,0.31,0.112,0.593,0.447
1706001,1991,0.274,0.081,0.519,0.489
1706100,1991,0.431,0.21,0.641,0.594
1706258,1991,0.316,0.109,0.637,0.455
1706506,1991,0.208,0.041,0.524,0.418
1707009,1991,0.385,0.174,0.588,0.558
1707108,1991,0.34,0.141,0.571,0.488
1707207,1991,0.27,0.078,0.566,0.445
1707306,1991,0.319,0.104,0.641,0.487
1707405,1991,0.189,0.039,0.486,0.357
1707553,1991,0.412,0.229,0.591,0.515
1707652,1991,0.393,0.18,0.658,0.514
1707702,1991,0.327,0.115,0.637,0.478
1708205,1991,0.311,0.1,0.578,0.518
1708254,1991,0.264,0.065,0.64,0.444
1708304,1991,0.309,0.107,0.537,0.511
1709005,1991,0.264,0.076,0.553,0.438
1709302,1991,0.417,0.215,0.588,0.573
1709500,1991,0.497,0.281,0.658,0.662
1709807,1991,0.16,0.016,0.607,0.424
1710508,1991,0.311,0.111,0.613,0.44
1710706,1991,0.258,0.076,0.519,0.433
1710904,1991,0.258,0.071,0.594,0.406
1711100,1991,0.35,0.134,0.666,0.481
1711506,1991,0.311,0.091,0.649,0.508
1711803,1991,0.177,0.024,0.565,0.407
1711902,1991,0.332,0.14,0.541,0.484
1711951,1991,0.224,0.062,0.515,0.352
1712009,1991,0.403,0.199,0.64,0.513
1712157,1991,0.305,0.129,0.537,0.41
1712405,1991,0.306,0.108,0.565,0.469
1712454,1991,0.28,0.112,0.487,0.401
1712504,1991,0.321,0.135,0.541,0.454
1712702,1991,0.147,0.014,0.649,0.347
1712801,1991,0.195,0.029,0.578,0.44
1713205,1991,0.46,0.217,0.666,0.672
1713304,1991,0.432,0.228,0.583,0.606
1713601,1991,0.302,0.104,0.55,0.482
1713700,1991,0.153,0.013,0.578,0.48
1713809,1991,0.169,0.022,0.541,0.406
1713957,1991,0.331,0.139,0.523,0.5
1714203,1991,0.336,0.126,0.594,0.507
1714302,1991,0.295,0.104,0.585,0.421
1714880,1991,0.326,0.128,0.537,0.503
1715002,1991,0.388,0.179,0.629,0.519
1715101,1991,0.329,0.126,0.618,0.457
1715150,1991,0.41,0.242,0.566,0.504
1715259,1991,0.235,0.056,0.597,0.389
1715507,1991,0.34,0.148,0.559,0.476
1715705,1991,0.205,0.038,0.566,0.403
1715754,1991,0.412,0.183,0.642,0.594
1716109,1991,0.488,0.258,0.66,0.681
1716208,1991,0.267,0.066,0.606,0.475
1716307,1991,0.281,0.067,0.642,0.518
1716505,1991,0.421,0.204,0.64,0.572
1716604,1991,0.32,0.11,0.632,0.473
1716653,1991,0.344,0.135,0.618,0.486
1716703,1991,0.391,0.186,0.586,0.549
1717008,1991,0.315,0.108,0.588,0.493
1717206,1991,0.271,0.071,0.647,0.433
1717503,1991,0.326,0.115,0.571,0.527
1717800,1991,0.276,0.086,0.566,0.431
1717909,1991,0.32,0.115,0.612,0.464
1718006,1991,0.383,0.206,0.593,0.461
1718204,1991,0.424,0.203,0.64,0.588
1718303,1991,0.252,0.082,0.486,0.402
